Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P40501	490	53,737	amino acid transport [GO:0006865]	amino acid transmembrane transporter activity [GO:0015171]; L-arginine transmembrane transporter activity [GO:0061459]; L-glutamate transmembrane transporter activity [GO:0005313]; L-histidine transmembrane transporter activity [GO:0005290]; L-lysine transmembrane transporter activity [GO:0015189]; L-serine transmembrane transporter activity [GO:0015194]; L-tyrosine transmembrane transporter activity [GO:0005302]	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P38928	823	90,783	axial cellular bud site selection [GO:0007120]	calcium ion binding [GO:0005509]	cellular bud neck [GO:0005935]; integral component of plasma membrane [GO:0005887]; septin ring [GO:0005940]
Q12186	476	53,034	mRNA splicing, via spliceosome [GO:0000398]	pre-mRNA branch point binding [GO:0045131]; zinc ion binding [GO:0008270]	commitment complex [GO:0000243]; cytosol [GO:0005829]; nucleus [GO:0005634]
P43583	2143	245,996	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; histone exchange [GO:0043486]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome assembly [GO:0043248]; proteasome core complex import into nucleus [GO:1990236]; regulation of proteasomal protein catabolic process [GO:0061136]; sequestration of proteasome core complex in proteasome storage granule [GO:1990237]	lysine-acetylated histone binding [GO:0070577]; peptidase activator activity [GO:0016504]; proteasome binding [GO:0070628]	nucleus [GO:0005634]; proteasome storage granule [GO:0034515]
P29311	267	30,091	aggresome assembly [GO:0070842]; ascospore formation [GO:0030437]; DNA damage checkpoint [GO:0000077]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; glycogen metabolic process [GO:0005977]; mitotic spindle orientation checkpoint [GO:0031578]; negative regulation of apoptotic process [GO:0043066]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle [GO:0051436]; pseudohyphal growth [GO:0007124]; Ras protein signal transduction [GO:0007265]; signal transduction involved in filamentous growth [GO:0001402]	DNA replication origin binding [GO:0003688]; phosphoserine binding [GO:0050815]; RNA polymerase II activating transcription factor binding [GO:0001102]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]
P09457	212	22,814	ATP synthesis coupled proton transport [GO:0015986]	proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]
P31386	333	36,467	budding cell bud growth [GO:0007117]; microtubule-based process [GO:0007017]; microtubule cytoskeleton organization [GO:0000226]; tRNA wobble uridine modification [GO:0002098]		cytoplasm [GO:0005737]
P38891	393	43,596	aspartate biosynthetic process [GO:0006532]; branched-chain amino acid biosynthetic process [GO:0009082]; branched-chain amino acid catabolic process [GO:0009083]; cellular response to UV [GO:0034644]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; L-methionine biosynthetic process from methylthioadenosine [GO:0019509]; mitotic G1 DNA damage checkpoint [GO:0031571]; valine biosynthetic process [GO:0009099]	branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-valine transaminase activity [GO:0052655]; pyridoxal phosphate binding [GO:0030170]	mitochondrial matrix [GO:0005759]
Q06338	283	32,661	protein export from nucleus [GO:0006611]; ribosomal large subunit export from nucleus [GO:0000055]		cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q02948	557	63,261	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; cellular response to nitrogen starvation [GO:0006995]; CVT pathway [GO:0032258]; late endosome to vacuole transport [GO:0045324]; macroautophagy [GO:0016236]; pexophagy [GO:0030242]; phosphatidylinositol biosynthetic process [GO:0006661]; piecemeal microautophagy of nucleus [GO:0034727]; protein targeting to vacuole [GO:0006623]; retrograde transport, endosome to Golgi [GO:0042147]		cytoplasm [GO:0005737]; cytoplasmic, membrane-bounded vesicle [GO:0016023]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; extrinsic component of membrane [GO:0019898]; phosphatidylinositol 3-kinase complex, class III, type I [GO:0034271]; phosphatidylinositol 3-kinase complex, class III, type II [GO:0034272]; pre-autophagosomal structure [GO:0000407]; pre-autophagosomal structure membrane [GO:0034045]
P22804	142	15,720	ER to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to ER [GO:0006890]; vesicle fusion [GO:0006906]	SNAP receptor activity [GO:0005484]	endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle [GO:0030134]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]
P50277	480	53,709	biotin biosynthetic process [GO:0009102]	adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; identical protein binding [GO:0042802]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
P32451	375	41,884	biotin biosynthetic process [GO:0009102]	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; metal ion binding [GO:0046872]	mitochondrion [GO:0005739]
P61829	76	7,759	ATP hydrolysis coupled proton transport [GO:0015991]; ATP synthesis coupled proton transport [GO:0015986]; protein targeting to mitochondrion [GO:0006626]	hydrogen ion transmembrane transporter activity [GO:0015078]; lipid binding [GO:0008289]	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
Q12500	764	86,426	post-Golgi vesicle-mediated transport [GO:0006892]		cytoplasm [GO:0005737]
P32873	1128	124,913	establishment of cell polarity [GO:0030010]; negative regulation of Rho protein signal transduction [GO:0035024]; septin ring organization [GO:0031106]; signal transduction [GO:0007165]	GTPase activator activity [GO:0005096]; phosphatidylinositol-3-phosphate binding [GO:0032266]	cell cortex [GO:0005938]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]
P50944	713	80,026	amino acid transmembrane export from vacuole [GO:0032974]	L-glutamine transmembrane transporter activity [GO:0015186]; L-isoleucine transmembrane transporter activity [GO:0015188]; L-tyrosine transmembrane transporter activity [GO:0005302]	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; vacuole-mitochondrion membrane contact site [GO:1990816]
P41696	914	101,170	cellular response to carbohydrate stimulus [GO:0071322]; regulation of fungal-type cell wall organization [GO:0060237]; regulation of transcription from RNA polymerase II promoter [GO:0006357]	metal ion binding [GO:0046872]; RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]	cytosol [GO:0005829]; nucleus [GO:0005634]
P41815	604	67,365	amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]	amino acid transmembrane transporter activity [GO:0015171]; antiporter activity [GO:0015297]; L-amino acid transmembrane transporter activity [GO:0015179]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; vacuole [GO:0005773]
P12630	587	63,730	adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; peptide catabolic process [GO:0043171]; protein catabolic process [GO:0030163]	aspartic-type endopeptidase activity [GO:0004190]	cell wall-bounded periplasmic space [GO:0030287]; extracellular region [GO:0005576]
P39714	382	41,582	alcohol metabolic process [GO:0006066]; butanediol biosynthetic process [GO:0034079]	(R,R)-butanediol dehydrogenase activity [GO:0000721]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
Q08347	646	72,646	dodecyl sulfate metabolic process [GO:0018909]	alkyl sulfatase activity [GO:0018741]; arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]	
P39960	2167	245,430	actin cytoskeleton organization [GO:0030036]; establishment of cell polarity [GO:0030010]; negative regulation of Rho protein signal transduction [GO:0035024]; small GTPase mediated signal transduction [GO:0007264]	GTPase activator activity [GO:0005096]; guanyl-nucleotide exchange factor activity [GO:0005085]	cell cortex [GO:0005938]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]
P81449	96	10,876	ATP synthesis coupled proton transport [GO:0015986]; cristae formation [GO:0042407]; protein complex oligomerization [GO:0035786]	hydrogen ion transmembrane transporter activity [GO:0015078]; structural molecule activity [GO:0005198]	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
Q06405	101	11,312	ATP synthesis coupled proton transport [GO:0015986]		mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]
P36107	401	45,193	inositolphosphoceramide metabolic process [GO:0006673]; sphingolipid biosynthetic process [GO:0030148]	inositol phosphoceramide synthase activity [GO:0045140]	Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; inositol phosphoceramide synthase complex [GO:0070916]; integral component of membrane [GO:0016021]
Q04749	426	47,139	establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; fungal-type cell wall organization [GO:0031505]; regulation of cell growth [GO:0001558]; TOR signaling [GO:0031929]		plasma membrane [GO:0005886]; TORC2 complex [GO:0031932]; vacuolar membrane [GO:0005774]
P39981	480	53,324	amino acid transmembrane transport [GO:0003333]	amino acid transmembrane transporter activity [GO:0015171]	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]
P38176	459	50,892	transport [GO:0006810]	L-arginine transmembrane transporter activity [GO:0061459]; L-glutamate transmembrane transporter activity [GO:0005313]; L-histidine transmembrane transporter activity [GO:0005290]; L-lysine transmembrane transporter activity [GO:0015189]; L-serine transmembrane transporter activity [GO:0015194]; L-tyrosine transmembrane transporter activity [GO:0005302]; transporter activity [GO:0005215]	fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]
P40471	297	32,814	phosphatidic acid biosynthetic process [GO:0006654]; triglyceride catabolic process [GO:0019433]	acylglycerone-phosphate reductase activity [GO:0000140]; triglyceride lipase activity [GO:0004806]	endoplasmic reticulum [GO:0005783]; lipid particle [GO:0005811]
P33306	851	93,738	G1/S transition of mitotic cell cycle [GO:0000082]; positive regulation of gene expression [GO:0010628]; regulation of cell cycle [GO:0051726]		
P38111	2368	273,342	DNA damage induced protein phosphorylation [GO:0006975]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; histone phosphorylation [GO:0016572]; nucleobase-containing compound metabolic process [GO:0006139]; positive regulation of DNA-dependent DNA replication [GO:2000105]; reciprocal meiotic recombination [GO:0007131]; telomere maintenance [GO:0000723]; telomere maintenance via recombination [GO:0000722]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	nucleus [GO:0005634]
P38360	1216	131,875	cadmium ion transport [GO:0015691]; cellular iron ion homeostasis [GO:0006879]; cellular metal ion homeostasis [GO:0006875]; response to cadmium ion [GO:0046686]; transmembrane transport [GO:0055085]	ATP binding [GO:0005524]; cadmium-exporting ATPase activity [GO:0008551]; copper ion binding [GO:0005507]	integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
P38636	73	8,221	cellular copper ion homeostasis [GO:0006878]; cellular iron ion homeostasis [GO:0006879]; cellular response to oxidative stress [GO:0034599]; copper ion transport [GO:0006825]; intracellular copper ion transport [GO:0015680]	copper chaperone activity [GO:0016531]	cytosol [GO:0005829]
P47068	1157	128,297	actin cytoskeleton organization [GO:0030036]; cytoskeleton organization [GO:0007010]	myosin I binding [GO:0017024]	actin cortical patch [GO:0030479]
P47176	376	41,625	aspartate biosynthetic process [GO:0006532]; branched-chain amino acid biosynthetic process [GO:0009082]; branched-chain amino acid catabolic process [GO:0009083]; isoleucine biosynthetic process [GO:0009097]; leucine biosynthetic process [GO:0009098]; L-methionine biosynthetic process from methylthioadenosine [GO:0019509]; valine biosynthetic process [GO:0009099]	branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-valine transaminase activity [GO:0052655]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
Q05029	724	82,049	cellular bud site selection [GO:0000282]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; Golgi to plasma membrane transport [GO:0006893]; protein transport [GO:0015031]		exomer complex [GO:0034044]; membrane [GO:0016020]
P40013	344	38,362	cell division [GO:0051301]; microtubule depolymerization [GO:0007019]; microtubule nucleation [GO:0007020]; mitotic sister chromatid cohesion [GO:0007064]; mitotic spindle orientation checkpoint [GO:0031578]; negative regulation of microtubule depolymerization [GO:0007026]; nuclear migration along microtubule [GO:0030473]; positive regulation of microtubule polymerization [GO:0031116]	microtubule plus-end binding [GO:0051010]; protein homodimerization activity [GO:0042803]; structural constituent of cytoskeleton [GO:0005200]	cytoplasmic microtubule [GO:0005881]; microtubule plus-end [GO:0035371]; spindle [GO:0005819]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]; spindle pole body [GO:0005816]
