Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
P47124	HOC1_YEAST	Putative glycosyltransferase HOC1 (EC 2.4.-.-) (M-Pol II subunit Hoc1p) (Mannan polymerase II complex HOC1 subunit)	alpha-1,6-mannosyltransferase complex [GO:0000136]	alpha-1,6-mannosyltransferase activity [GO:0000009]; transferase activity, transferring glycosyl groups [GO:0016757]	cell wall mannoprotein biosynthetic process [GO:0000032]; N-glycan processing [GO:0006491]; substituted mannan metabolic process [GO:0006080]	396	46,297
P39979	HPA3_YEAST	D-amino-acid N-acetyltransferase HPA3 (DNT) (EC 2.3.1.36) (EC 2.3.1.48) (Histone and other protein acetyltransferase 3)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	D-amino-acid N-acetyltransferase activity [GO:0047812]; histone acetyltransferase activity [GO:0004402]	cellular detoxification of nitrogen compound [GO:0070458]; D-amino acid metabolic process [GO:0046416]	161	18,814
P17629	HPR1_YEAST	THO complex subunit HPR1 (Hyperrecombination protein 1)	chromosome, telomeric region [GO:0000781]; nucleoplasmic THO complex [GO:0000446]; THO complex part of transcription export complex [GO:0000445]	nucleic acid binding [GO:0003676]; protein complex scaffold [GO:0032947]	DNA recombination [GO:0006310]; mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; regulation of transcription, DNA-templated [GO:0006355]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]	752	87,829
Q02959	HOS3_YEAST	Histone deacetylase HOS3 (EC 3.5.1.98)	nucleus [GO:0005634]	histone deacetylase activity [GO:0004407]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]	histone deacetylation [GO:0016575]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; transcription, DNA-templated [GO:0006351]	697	79,2
P48570	HOSC_YEAST	Homocitrate synthase, cytosolic isozyme (EC 2.3.3.14)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	homocitrate synthase activity [GO:0004410]	DNA repair [GO:0006281]; histone displacement [GO:0001207]; lysine biosynthetic process via aminoadipic acid [GO:0019878]	428	47,099
Q03213	HOT1_YEAST	High-osmolarity-induced transcription protein 1	nucleus [GO:0005634]	RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly [GO:0001075]	cellular hyperosmotic salinity response [GO:0071475]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress [GO:0061393]; RNA polymerase II transcriptional preinitiation complex assembly [GO:0051123]	719	79,416
P39734	HPH2_YEAST	Protein HPH2 (Functionally related to TCP1 protein 2) (High pH protein 2)	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]		cellular response to alkaline pH [GO:0071469]; cellular response to salt stress [GO:0071472]	528	58,75
Q08109	HRD1_YEAST	ERAD-associated E3 ubiquitin-protein ligase HRD1 (EC 6.3.2.-) (HMG-CoA reductase degradation protein 1)	endoplasmic reticulum membrane [GO:0005789]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; Hrd1p ubiquitin ligase ERAD-M complex [GO:0000838]; integral component of membrane [GO:0016021]	identical protein binding [GO:0042802]; ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase activity involved in ERAD pathway [GO:1904264]; ubiquitin-protein transferase activity [GO:0004842]; ubiquitin-specific protease binding [GO:1990381]; zinc ion binding [GO:0008270]	endoplasmic reticulum unfolded protein response [GO:0030968]; ER-associated ubiquitin-dependent protein catabolic process [GO:0030433]; fungal-type cell wall organization [GO:0031505]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; retrograde protein transport, ER to cytosol [GO:0030970]	551	63,535
P31539	HS104_YEAST	Heat shock protein 104 (Protein aggregation-remodeling factor HSP104)	cytoplasm [GO:0005737]; nuclear periphery [GO:0034399]; nucleus [GO:0005634]; TRC complex [GO:0072380]	ADP binding [GO:0043531]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]	cellular heat acclimation [GO:0070370]; chaperone cofactor-dependent protein refolding [GO:0070389]; inheritance of oxidatively modified proteins involved in replicative cell aging [GO:0001319]; protein folding in endoplasmic reticulum [GO:0034975]; protein metabolic process [GO:0019538]; protein unfolding [GO:0043335]; stress granule disassembly [GO:0035617]; trehalose metabolism in response to heat stress [GO:0070414]	908	102,035
P51979	HFM1_YEAST	ATP-dependent DNA helicase MER3 (EC 3.6.4.12) (Protein HFM1)	nucleus [GO:0005634]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; metal ion binding [GO:0046872]	DNA unwinding involved in DNA replication [GO:0006268]; meiotic nuclear division [GO:0007126]; reciprocal meiotic recombination [GO:0007131]; synapsis [GO:0007129]	1187	135,072
P00498	HIS1_YEAST	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	cytoplasm [GO:0005737]	ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]	histidine biosynthetic process [GO:0000105]	297	32,266
P25364	HCM1_YEAST	Forkhead transcription factor HCM1 (High-copy suppressor of calmodulin protein 1)	cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]	RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	cellular response to oxidative stress [GO:0034599]; mitochondrion organization [GO:0007005]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; spindle pole body organization [GO:0051300]; transcription, DNA-templated [GO:0006351]	564	63,647
P38199	HEK2_YEAST	Heterogeneous nuclear rnp K-like protein 2 (KH domain-containing protein 1)	cytoplasm [GO:0005737]; cytoplasmic mRNA processing body [GO:0000932]; nuclear chromosome, telomeric region [GO:0000784]	mRNA binding [GO:0003729]	chromatin modification [GO:0016569]; intracellular mRNA localization [GO:0008298]; mRNA stabilization [GO:0048255]; mRNA transport [GO:0051028]; regulation of translation [GO:0006417]; telomere maintenance [GO:0000723]; telomere maintenance via telomerase [GO:0007004]	381	41,683
Q05580	HEL2_YEAST	E3 ubiquitin-protein ligase HEL2 (EC 6.3.2.-) (Histone E3 ligase 2)	cytoplasm [GO:0005737]	ligase activity [GO:0016874]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	histone catabolic process [GO:0036205]; histone ubiquitination [GO:0016574]	639	72,756
P05373	HEM2_YEAST	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	cytosol [GO:0005829]	lead ion binding [GO:0032791]; porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270]	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	342	37,74
P39982	HHY1_YEAST	Hypersensitivity to hygromycin-B protein 1	integral component of membrane [GO:0016021]			102	11,341
P38635	HIS9_YEAST	Histidinol-phosphatase (HolPase) (EC 3.1.3.15)		histidinol-phosphatase activity [GO:0004401]	histidine biosynthetic process [GO:0000105]	335	38,582
Q04429	HLR1_YEAST	Protein HLR1 (LRE1 homolog)	cytoplasm [GO:0005737]		fungal-type cell wall organization [GO:0031505]	423	47,578
P48362	HGH1_YEAST	Protein HGH1 (HMG1/2 protein homolog)				394	44,951
P41809	HKR1_YEAST	Signaling mucin HKR1 (Hansenula MRAKII killer toxin-resistant protein 1)	cell surface [GO:0009986]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; site of polarized growth [GO:0030427]	osmosensor activity [GO:0005034]	(1->3)-beta-D-glucan biosynthetic process [GO:0006075]; cellular bud site selection [GO:0000282]; fungal-type cell wall organization [GO:0031505]; hyperosmotic response [GO:0006972]; osmosensory signaling pathway via Sho1 osmosensor [GO:0007232]; signal transduction involved in filamentous growth [GO:0001402]	1802	188,948
P0CY13	HMRA2_YEAST	Silenced mating-type protein A2 (MATa2 protein)	nucleus [GO:0005634]	DNA binding [GO:0003677]		119	13,882
P32339	HMX1_YEAST	Heme-binding protein HMX1	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nuclear outer membrane [GO:0005640]	heme oxygenase (decyclizing) activity [GO:0004392]; metal ion binding [GO:0046872]	cellular iron ion homeostasis [GO:0006879]; heme catabolic process [GO:0042167]; heme oxidation [GO:0006788]; response to oxidative stress [GO:0006979]	317	37,179
P20050	HOP1_YEAST	Meiosis-specific protein HOP1	condensed nuclear chromosome [GO:0000794]; lateral element [GO:0000800]; nucleus [GO:0005634]	four-way junction DNA binding [GO:0000400]; metal ion binding [GO:0046872]	meiotic recombination checkpoint [GO:0051598]; synapsis [GO:0007129]; synaptonemal complex assembly [GO:0007130]	605	68,876
P40480	HOS4_YEAST	Protein HOS4	cytoplasm [GO:0005737]; Set3 complex [GO:0034967]; ubiquitin ligase complex [GO:0000151]	ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]	histone deacetylation [GO:0016575]; negative regulation of meiotic nuclear division [GO:0045835]	1083	123,556
Q02516	HAP5_YEAST	Transcriptional activator HAP5	CCAAT-binding factor complex [GO:0016602]	DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]; regulation of cellular respiration [GO:0043457]; transcription from RNA polymerase II promoter [GO:0006366]	242	27,676
Q03532	HAS1_YEAST	ATP-dependent RNA helicase HAS1 (EC 3.6.4.13) (Helicase associated with SET1 protein 1)	nuclear envelope [GO:0005635]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA binding [GO:0003723]; RNA-dependent ATPase activity [GO:0008186]	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal small subunit biogenesis [GO:0042274]; RNA secondary structure unwinding [GO:0010501]; rRNA processing [GO:0006364]; snoRNA release from pre-rRNA [GO:1990417]	505	56,717
P32769	HBS1_YEAST	Elongation factor 1 alpha-like protein	cytoplasm [GO:0005737]; Dom34-Hbs1 complex [GO:1990533]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]	nonfunctional rRNA decay [GO:0070651]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; positive regulation of translation [GO:0045727]; ribosome disassembly [GO:0032790]	611	68,73
P32480	HIR2_YEAST	Protein HIR2 (Histone transcription regulator 2)	cytosol [GO:0005829]; HIR complex [GO:0000417]; nucleus [GO:0005634]	transcription corepressor activity [GO:0003714]	chromatin modification [GO:0016569]; DNA replication-independent nucleosome assembly [GO:0006336]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; transcription elongation from RNA polymerase II promoter [GO:0006368]	875	98,445
P19807	HNM1_YEAST	Choline transport protein	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	(R)-carnitine transmembrane transporter activity [GO:1901235]; antiporter activity [GO:0015297]; choline transmembrane transporter activity [GO:0015220]; ethanolamine transmembrane transporter activity [GO:0034228]; L-amino acid transmembrane transporter activity [GO:0015179]	(R)-carnitine transport [GO:1900749]; choline transport [GO:0015871]; ethanolamine transport [GO:0034229]; glycine betaine transport [GO:0031460]	563	62,056
P40481	HPM1_YEAST	Histidine protein methyltransferase 1 (EC 2.1.1.85) (Mitotic exit network interactor 1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	protein-histidine N-methyltransferase activity [GO:0018064]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	peptidyl-histidine methylation, to form tele-methylhistidine [GO:0042038]	377	42,515
P15992	HSP26_YEAST	Heat shock protein 26 (26 kDa heat shock protein)	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; nucleus [GO:0005634]	mRNA binding [GO:0003729]; unfolded protein binding [GO:0051082]	cellular response to heat [GO:0034605]; protein folding [GO:0006457]	214	23,88
P11484	HSP75_YEAST	Heat shock protein SSB1 (Cold-inducible protein YG101)	cytoplasm [GO:0005737]; polysome [GO:0005844]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; unfolded protein binding [GO:0051082]	'de novo' cotranslational protein folding [GO:0051083]; cellular response to glucose starvation [GO:0042149]; cytoplasmic translation [GO:0002181]; regulation of translational fidelity [GO:0006450]; ribosomal subunit export from nucleus [GO:0000054]; rRNA processing [GO:0006364]; translational frameshifting [GO:0006452]; translational termination [GO:0006415]	613	66,602
P06633	HIS7_YEAST	Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)		imidazoleglycerol-phosphate dehydratase activity [GO:0004424]	histidine biosynthetic process [GO:0000105]	220	23,833
P12683	HMDH1_YEAST	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; peroxisomal membrane [GO:0005778]	hydroxymethylglutaryl-CoA reductase (NADPH) activity [GO:0004420]; NADP binding [GO:0050661]	coenzyme A metabolic process [GO:0015936]; ergosterol biosynthetic process [GO:0006696]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]; isoprenoid biosynthetic process [GO:0008299]	1054	115,626
P40037	HMF1_YEAST	Protein HMF1 (High dosage growth inhibitor) (Homologous mitochondrial matrix factor 1)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]			129	13,906
Q03973	HMO1_YEAST	High mobility group protein 1 (High spontaneous mutagenesis protein 2)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; rDNA heterochromatin [GO:0033553]; small-subunit processome [GO:0032040]	DNA binding, bending [GO:0008301]; double-stranded DNA binding [GO:0003690]; four-way junction DNA binding [GO:0000400]	chromosome condensation [GO:0030261]; DNA packaging [GO:0006323]; dsDNA loop formation [GO:0090579]; regulation of ribosomal protein gene transcription from RNA polymerase II promoter [GO:0060962]; regulation of transcription from RNA polymerase I promoter [GO:0006356]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]	246	27,544
P0CY11	HMRA1_YEAST	Silenced mating-type protein A1 (MATa1 protein)	nucleus [GO:0005634]	sequence-specific DNA binding [GO:0043565]; transcription corepressor activity [GO:0003714]	regulation of mating-type specific transcription, DNA-templated [GO:0007532]; transcription, DNA-templated [GO:0006351]	126	14,803
P38074	HMT1_YEAST	Protein arginine N-methyltransferase 1 (EC 2.1.1.-) (Major type I protein arginine N-methyltransferase) (Type I PRMT) (hnRNP arginine N-methyltransferase)	cytosol [GO:0005829]; nucleus [GO:0005634]	histone-arginine N-methyltransferase activity [GO:0008469]; protein-arginine omega-N asymmetric methyltransferase activity [GO:0035242]; protein-arginine omega-N monomethyltransferase activity [GO:0035241]	mRNA export from nucleus [GO:0006406]; negative regulation of DNA-templated transcription, termination [GO:0060567]; peptidyl-arginine methylation [GO:0018216]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]	348	39,786
P53187	HOP2_YEAST	Homologous-pairing protein 2	condensed nuclear chromosome [GO:0000794]	double-stranded DNA binding [GO:0003690]	reciprocal meiotic recombination [GO:0007131]; synapsis [GO:0007129]	214	24,479
Q12347	HRT3_YEAST	F-box protein HRT3 (High level expression reduces Ty3 transposition protein 3)	SCF ubiquitin ligase complex [GO:0019005]	protein binding, bridging [GO:0030674]	cellular response to methylmercury [GO:0071406]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	344	40,475
